,user,movie
18321,379,150
36263,379,622
13259,379,122
45403,379,896
60282,379,1486
42458,379,601
34801,379,498
64423,379,87
14474,379,41
33934,379,207
28166,379,1234
59345,379,246
37226,379,1396
14308,379,1062
29482,379,846
73256,379,869
40178,379,627
69711,379,1030
5548,379,1044
27052,379,179
72006,379,1208
83231,379,1011
30845,379,42
58263,379,677
5450,379,88
63332,379,1130
46981,379,667
33053,379,702
18255,379,1335
37219,379,380
79837,379,1322
81881,379,637
7530,379,232
66144,379,113
53169,379,273
51963,379,949
4251,379,773
13167,379,303
63891,379,1547
63502,379,1398
23895,379,301
21624,379,621
71215,379,1636
86032,379,7
30561,379,225
88364,379,373
22960,379,1281
25351,379,1205
35227,379,1597
13706,379,865
71136,379,1217
4611,379,1034
78429,379,623
55448,379,203
35866,379,82
77251,379,715
6624,379,1464
75251,379,826
65345,379,1246
21172,379,513
67096,379,200
32391,379,223
27008,379,1572
73822,379,1516
36270,379,1390
65237,379,1329
9632,379,317
15011,379,1657
80829,379,199
62187,379,387
50873,379,1102
39194,379,59
62104,379,1337
78064,379,602
10206,379,1467
21073,379,390
50818,379,1048
20497,379,1189
31880,379,1603
62379,379,389
67030,379,24
73121,379,36
50557,379,446
15926,379,610
49491,379,399
84398,379,1583
34635,379,27
413,379,744
80658,379,1416
9710,379,1653
54628,379,1500
27248,379,1226
52368,379,1507
65972,379,184
63013,379,1260
80194,379,209
62484,379,1397
31708,379,996
67090,379,1394
50097,379,1644
30859,379,1294
47262,379,929
30042,379,1037
84071,379,1304
46173,379,409
16191,379,711
42116,379,1201
15506,379,333
62754,379,1642
38251,379,997
39530,379,651
63439,379,1093
82887,379,1317
78647,379,1543
13664,379,1014
69063,379,585
62258,379,739
64773,379,249
22715,379,876
4934,379,296
28429,379,867
28404,379,1484
19235,379,972
20874,379,456
11683,379,570
77830,379,1074
36848,379,1523
9062,379,551
33863,379,92
30571,379,658
3558,379,460
33747,379,32
64882,379,1633
38782,379,517
46101,379,1207
71517,379,793
88478,379,433
10321,379,1149
29849,379,1407
64345,379,909
6179,379,1235
78540,379,829
67778,379,1127
45601,379,312
79245,379,1485
15753,379,1580
3945,379,314
41499,379,942
25496,379,1310
75863,379,1077
74828,379,762
82866,379,1399
14577,380,498
51398,380,302
8869,380,261
53148,380,1433
50333,380,1615
1684,380,421
72140,380,1027
81534,380,720
87053,380,549
30305,380,1580
21395,380,587
68561,380,1032
35461,380,50
85735,380,1547
66540,380,885
41107,380,690
63530,380,1167
63275,380,1253
46587,380,973
39351,380,524
53755,380,303
540,380,1398
9934,380,1350
48474,380,855
28768,380,1355
45833,380,1216
6119,380,1171
85308,380,713
6555,380,23
29146,380,534
86349,380,1523
71056,380,883
37457,380,1644
47333,380,1077
56873,380,173
59217,380,443
75533,380,1476
41099,380,494
60157,380,936
83856,380,2
848,380,362
29173,380,563
32258,380,336
58410,380,1149
46244,380,1460
85507,380,226
53058,380,1542
36303,380,908
49528,380,566
56378,380,1281
84216,380,1419
65045,380,1397
78514,380,1333
35951,380,1491
12089,380,423
10375,380,312
29153,380,361
15306,380,390
20492,380,7
49419,380,223
87201,380,1631
15998,380,27
86899,380,770
38024,380,570
60593,380,76
50625,380,1016
75796,380,1209
15643,380,721
48649,380,274
72895,380,1034
36108,380,152
30992,380,1500
79527,380,95
73767,380,44
5080,380,1260
52992,380,860
83411,380,212
76151,380,1168
88449,380,618
18606,380,984
72594,380,865
35576,380,410
7509,380,184
12417,380,772
79653,380,1558
8288,380,300
74997,380,896
74289,380,153
30560,380,947
38671,380,293
42003,380,538
82524,380,1370
14778,380,1633
73813,380,1244
50393,380,1556
68754,380,910
47434,380,976
29204,380,36
35638,380,455
4260,380,744
2901,380,468
35425,380,179
86871,380,145
12553,380,1210
18570,380,1139
