,user,movie
15038,210,1397
26680,210,1535
35473,210,1391
25030,210,1317
7380,210,521
2810,210,1556
81182,210,1404
41389,210,68
50667,210,25
51288,210,1588
54809,210,1234
54342,210,32
44947,210,460
9020,210,713
58373,210,1132
30718,210,1333
33886,210,964
80540,210,1251
66562,210,958
63876,210,1000
89175,210,993
73567,210,1297
61057,210,446
14881,210,232
42623,210,1206
47773,210,612
49016,210,815
49292,210,153
35857,210,635
49562,210,1102
1266,210,560
42706,210,865
42462,210,551
26317,210,389
42638,210,768
85367,211,232
18485,211,1147
56225,211,612
63738,211,1281
22947,211,572
51960,211,460
44164,211,87
3709,211,1289
21064,211,1124
45231,211,317
52452,211,362
26046,211,209
13388,211,627
54446,211,446
5824,211,582
28036,211,50
52191,211,815
13682,211,580
46392,211,293
71758,211,741
61648,211,1226
45197,211,24
31620,211,1507
36711,211,851
50359,212,270
34077,212,997
16810,212,1148
12856,212,1524
15176,212,1182
1961,212,122
77184,212,232
69986,212,1204
36004,212,768
36786,212,82
42413,212,1257
78436,212,1266
7254,212,178
40446,212,554
408,212,1071
27033,212,744
77147,212,1190
41063,212,1523
47742,212,1338
56987,212,1241
11146,212,235
34711,212,44
79469,212,1497
86779,212,613
23017,212,945
72490,212,1095
83649,212,623
83648,212,851
84055,212,1580
37931,212,1189
32738,212,1176
25202,212,1329
67435,212,1135
73975,212,1644
9608,212,1102
71923,212,1205
73294,212,1386
60016,212,349
68624,212,666
23138,212,124
45101,212,1558
28611,212,1147
57064,212,1032
24366,212,478
62019,212,463
60419,212,1157
55246,212,16
29964,212,333
26153,212,1588
86513,212,1301
62551,212,1322
1011,212,505
58680,212,1461
31078,212,1281
4053,212,964
41228,212,498
4789,212,494
56338,212,226
79145,212,1543
27426,212,1244
55344,212,1251
81226,212,1390
56870,212,460
52501,212,1215
36992,212,627
51271,212,618
17340,212,373
85304,212,1398
72317,212,87
86327,212,860
60085,212,7
15444,212,113
82036,212,1407
66701,212,273
65277,212,1633
27365,212,399
39459,212,433
67203,212,696
8632,212,1547
76080,212,570
61088,212,109
46066,212,1317
