,user,movie
25829,793,321
133,793,642
62664,793,1234
77336,793,1547
67756,793,1398
26050,793,885
27691,793,82
4242,793,1037
22810,793,84
3187,793,1297
66293,793,1515
60931,793,171
36564,793,1295
24614,793,825
89302,793,1524
7637,793,224
68951,793,468
73038,793,1266
25908,793,209
83253,793,13
21452,793,572
25498,793,1167
20108,793,613
16641,793,770
52291,793,1441
88762,793,498
75185,793,460
38072,793,230
3047,793,964
84286,793,1523
77520,793,976
30541,793,1208
62321,793,499
84057,793,1240
32239,793,40
71163,794,1037
84297,794,553
35273,794,414
36264,794,109
11366,794,382
64701,794,415
28420,794,1210
51597,794,1191
72635,794,1454
48604,794,336
64700,794,1460
62845,794,591
71786,794,1248
8411,794,757
84744,794,732
76886,794,643
76885,794,355
29218,794,1333
40871,794,1644
8743,794,997
50448,794,199
36823,794,1306
40587,794,1023
18755,794,143
61,794,996
18509,794,1394
64521,794,528
71267,794,773
38784,794,945
35431,794,1381
88161,794,792
49131,794,24
24221,794,94
49415,794,1178
88040,794,275
35643,794,431
88306,794,16
417,794,1398
62488,794,1251
11394,794,1581
21926,794,1565
36210,794,685
71365,794,683
65075,794,82
5775,794,1213
31787,794,313
65244,794,113
44881,794,226
87272,794,711
58832,794,667
37036,794,550
80729,794,178
23147,794,1603
89221,794,1441
58814,794,20
34444,794,88
75633,794,616
46211,794,142
59650,794,1155
27193,794,184
21591,794,1205
21605,794,1481
86559,794,494
69629,794,964
14092,794,1523
6707,794,801
86490,794,1543
73220,794,1451
38586,794,435
57172,794,416
53840,794,1064
74624,794,547
67785,794,223
41881,794,1254
74451,794,475
70126,794,1019
56527,794,315
11892,794,692
75732,794,554
841,794,446
41677,794,456
37136,794,122
55964,794,1496
38473,794,158
23911,794,715
59366,794,947
27331,794,330
12574,794,257
55835,794,567
61317,794,254
2217,794,159
87400,794,1572
31216,794,235
82514,794,347
32596,794,465
41235,794,1652
20000,794,57
87532,794,1335
14300,794,744
30272,794,373
4663,794,953
19132,794,1410
53629,794,1399
38127,794,450
77922,794,286
66047,794,596
70263,794,820
81154,794,1201
67255,794,793
29717,794,1234
79957,794,747
5982,794,1419
33219,794,319
47329,794,1365
41970,794,1414
75974,794,1371
67687,794,1366
46448,794,1386
54954,794,200
57462,794,753
81699,794,154
19530,794,785
59971,794,1078
58456,794,36
42021,794,1142
31669,794,498
57600,794,1291
67635,794,1373
73989,794,950
19751,794,1181
31927,794,438
46669,794,1063
81813,794,309
54890,794,811
22657,794,1547
61912,794,1238
54576,794,505
74974,794,1633
31751,794,570
77910,794,1208
14288,794,1611
5061,794,474
82270,794,1337
21101,794,623
54680,794,464
52060,794,7
70648,794,434
13112,795,667
42996,795,1057
14898,795,1361
12572,795,1234
69052,795,733
71623,795,1171
79328,795,1658
26116,795,463
14150,795,315
84490,795,1379
