,user,movie
86815,117,1231
33343,117,222
9363,117,456
66905,117,7
11273,117,1660
9183,117,1479
13464,117,1507
6357,117,1043
21642,117,886
12004,117,1131
45926,117,740
29466,117,87
21778,117,1450
47636,117,1329
65872,117,303
20022,117,223
56251,117,1342
86333,117,94
44900,117,16
47993,117,1451
7166,117,1299
84170,117,475
87434,117,571
41794,117,1190
12471,117,1135
64259,117,1183
36159,117,1543
8742,117,1189
41342,117,1644
41159,117,433
69487,117,1039
78353,117,815
53713,117,1632
25897,117,296
78622,117,561
67953,117,851
78752,117,1241
40171,117,1322
58719,117,1284
39511,117,753
29735,117,569
55020,117,260
7493,117,667
62906,117,570
38771,117,773
10910,117,226
10526,117,1524
48823,117,1456
60545,117,1215
51972,117,333
51418,117,1188
74854,117,1205
58345,117,309
36333,117,44
43905,117,57
53015,117,225
67274,117,498
85863,117,1078
58338,117,747
61543,117,1121
70995,117,400
53538,117,889
23533,117,341
48348,117,783
9998,117,670
48520,117,317
88185,118,971
68122,118,1373
25757,118,1146
25236,118,1234
83577,118,996
47127,118,1267
72112,118,460
56184,118,1025
68865,118,1467
445,118,407
70943,118,851
82843,118,1269
1379,118,361
7250,118,484
56061,118,1338
50289,118,1020
4659,118,1401
68466,118,92
8486,118,987
32824,118,997
59151,118,655
26052,118,695
16361,118,1543
67475,118,434
4923,118,1241
87274,118,464
33386,118,498
20288,118,1113
56885,118,820
49084,118,1266
33058,118,411
21177,118,136
71405,118,761
67766,118,288
58230,118,1644
4904,118,1061
29441,118,1205
20294,118,235
70469,118,478
69592,118,1398
47253,118,1606
21163,118,1191
69381,118,1424
87513,118,1190
6682,118,1381
67237,118,1153
36093,118,378
61639,118,232
70869,118,860
87117,118,946
84384,118,623
42473,118,1317
59571,118,1623
12493,118,572
55631,118,1500
22169,118,739
37786,118,416
18623,118,823
24647,118,744
77695,118,1540
27910,118,283
2584,118,113
54172,118,332
41503,118,1386
77116,118,904
22239,118,1301
13267,118,1210
27695,118,1289
1237,118,571
34521,118,333
15159,118,1495
946,118,1217
37511,118,128
5473,118,1037
27581,118,447
9212,118,1396
53688,118,225
18994,118,384
57395,118,1232
42897,118,158
22080,118,32
89436,118,1456
7580,118,1284
34944,118,957
81169,118,621
55342,118,96
28774,118,556
80675,118,1533
57708,118,930
80486,118,1297
55253,118,345
80417,118,766
5819,118,1368
28668,118,114
10793,118,955
31301,118,1142
61219,118,964
79619,118,1270
63304,118,969
12519,118,770
38003,118,153
23681,118,1596
39794,118,967
10673,118,1016
14413,118,1518
39917,118,1226
39925,118,1036
79032,118,529
5669,118,1081
78931,118,1133
10600,118,1206
28235,118,892
40359,118,1537
6614,118,891
43220,118,141
72698,118,1460
59948,118,757
30172,118,919
1292,118,883
44452,118,554
74249,118,945
74236,118,797
16070,118,587
66348,118,178
83890,118,171
31080,118,1524
86392,118,184
75892,118,747
45027,118,327
45131,118,1071
60055,118,1017
45145,118,293
278,118,732
6379,118,768
25101,118,798
32099,118,1407
82563,118,349
45746,118,389
88553,118,435
66098,118,1257
53072,118,98
85952,118,131
7156,118,1198
37341,118,1306
29991,118,631
53297,118,821
65358,118,414
72821,118,1389
59273,118,1176
19273,118,493
66578,118,88
53427,118,733
66527,118,792
55931,118,780
34069,118,1335
11201,118,1509
33799,118,463
61678,118,1481
35617,118,390
30801,119,972
5036,119,987
17346,119,209
71919,119,1005
45794,119,384
72861,119,744
58868,119,1523
52070,119,1623
43119,119,612
26555,119,389
63479,119,235
8879,119,964
33154,119,460
56882,119,1495
5275,119,1135
53870,119,178
62267,119,333
27835,119,598
7151,119,1398
23846,119,891
78019,119,1251
74372,119,1547
73921,119,780
23421,120,1580
58223,120,1100
32559,120,1297
34376,120,1261
88710,120,1102
84360,120,227
58604,120,1205
30439,120,1398
83910,120,987
12101,120,964
32807,120,245
815,120,1135
85975,120,1226
12843,120,1329
58523,120,1547
8381,120,945
18422,120,1231
40719,120,1474
2490,120,178
41172,120,1175
68227,120,771
2551,120,15
56726,120,456
41609,120,104
41825,120,1032
69017,120,744
55358,120,776
2707,120,1572
24238,120,7
55482,120,1234
77053,120,1500
4906,120,1149
54990,120,1507
8201,120,82
13146,120,498
64577,120,1301
24918,120,87
59354,120,855
65239,120,1281
80454,120,1146
56382,120,612
80126,120,362
20831,120,92
28513,120,1379
8031,120,1310
54506,120,658
66440,120,235
5051,120,883
79443,120,1210
66557,120,627
66843,120,493
63768,120,1085
69348,120,1338
64447,120,798
49399,120,1016
19714,120,1589
73716,120,255
57934,120,860
46510,120,1495
74798,120,519
22509,120,780
47216,120,1251
75190,120,389
10051,120,171
43974,120,1523
2778,120,1167
18836,120,435
48777,120,1071
30927,120,209
9323,121,1507
58182,121,1175
44559,121,1326
79688,121,612
86172,121,50
56495,121,316
72923,121,613
46168,121,1032
52716,121,180
38807,121,446
21564,121,87
49345,121,922
38723,121,7
52927,121,1355
10916,121,517
9496,121,1102
80824,121,1527
59788,121,1014
81192,121,851
73539,121,554
73001,121,1155
23678,121,1016
38009,121,551
76583,121,382
11824,121,132
50215,121,261
42905,121,627
76126,121,513
43486,121,1120
47515,121,1653
78245,121,1304
68034,121,572
40740,121,732
47481,121,1226
67995,121,1241
43825,121,1074
40337,121,1504
