,user,movie
12645,77,1581
15203,77,1609
1037,77,1085
51095,77,1364
84772,77,527
84400,77,283
64262,77,378
64251,77,1018
74788,77,1284
82989,77,484
31748,77,339
46268,77,780
51216,77,1025
8733,77,904
67561,77,572
33026,77,860
38046,77,178
40096,77,733
50431,77,476
72502,77,964
22079,78,737
72954,78,1500
48698,78,1118
15423,78,1135
54690,78,518
39807,78,976
70159,78,1302
72981,78,1482
14194,78,1609
82174,78,333
46794,78,358
55040,78,1238
58486,78,1441
32237,78,1394
58900,78,1543
9858,78,579
84631,78,498
81850,78,572
89450,78,209
48005,78,1011
37507,78,855
30842,78,321
17810,78,1284
38271,78,84
602,78,1295
71339,78,964
994,78,883
44044,78,283
22000,78,293
56591,78,1109
89470,78,171
79406,78,1149
15618,78,1297
69892,78,1528
2634,78,1316
50007,78,455
4702,78,1398
1160,78,1556
45212,78,474
44841,78,724
74153,78,828
10614,78,304
86350,78,948
8739,78,348
32706,78,207
20820,78,460
40991,78,1314
11377,78,170
34100,79,773
60397,79,1556
20366,79,780
25864,79,862
22456,79,1317
26657,79,997
8276,79,1201
22364,79,1657
60246,79,82
55007,79,273
18104,79,1407
37907,79,446
55034,79,232
72289,79,1289
78343,79,1149
65663,79,1226
13794,79,876
244,79,570
18900,79,517
66333,79,1132
64243,79,1321
21274,79,498
82965,79,572
2337,79,471
42259,79,468
74393,79,1257
64895,80,1281
16377,80,1543
27361,80,1284
78090,80,1441
52102,80,527
12232,80,1210
47132,80,780
70158,80,178
60017,80,1523
37502,80,455
27825,80,1547
34531,80,537
8166,80,883
1397,80,884
66677,80,798
84547,80,1581
32007,80,321
81419,80,498
51056,80,313
38738,80,572
12885,80,1652
26515,80,644
47024,80,1394
8137,80,161
66000,80,1609
16888,80,1018
64169,80,347
44266,80,666
18951,80,1537
27503,80,713
56799,80,424
16249,80,493
6007,80,1270
41229,80,1633
37497,80,345
84711,80,1176
70787,80,855
43991,80,1570
88379,80,476
37410,80,505
84136,80,199
83095,80,1477
31492,80,570
41202,80,1497
58110,80,987
67161,80,481
65588,81,1092
65557,81,612
52624,81,1297
52867,81,635
796,81,249
58467,81,43
74091,81,577
27149,81,1234
79947,81,109
65328,81,161
6396,81,798
44489,81,884
18024,81,1034
10868,81,143
44005,81,715
79981,81,1497
3427,81,551
88466,81,88
44243,81,1652
24872,81,1167
39247,81,996
39964,81,1333
40037,81,455
85540,81,1284
41984,81,485
85340,81,851
29881,81,1537
34695,81,953
84850,81,1208
56357,81,235
64323,81,336
18729,81,476
56397,81,1135
40430,81,95
54237,81,1391
7667,81,2
