,rating
30309,4.0
84558,5.0
32462,3.0
70794,4.0
76352,4.0
28533,4.0
17840,5.0
40322,3.0
25994,4.0
36610,3.0
54733,1.0
23608,2.0
41032,1.0
53230,5.0
53469,3.0
87601,5.0
54507,2.0
26156,2.0
31515,3.0
166,4.0
41737,3.0
60053,2.0
43437,4.0
72370,5.0
68201,4.0
70956,5.0
7125,5.0
58457,5.0
88992,4.0
62921,5.0
78250,4.0
52392,4.0
60570,4.0
55251,4.0
85429,4.0
62792,3.0
7650,3.0
8728,4.0
4394,3.0
71252,5.0
87193,4.0
10799,5.0
38601,3.0
4888,4.0
20412,4.0
60043,2.0
45811,5.0
83146,1.0
8371,3.0
47394,5.0
35373,1.0
11143,5.0
68752,1.0
87615,1.0
12140,4.0
26868,2.0
70358,1.0
33619,3.0
11191,3.0
27066,3.0
4761,5.0
46374,5.0
17164,4.0
73183,5.0
72795,3.0
10103,5.0
48754,3.0
30438,5.0
17361,5.0
40979,3.0
3415,3.0
80403,4.0
60598,1.0
41302,3.0
73124,4.0
15839,4.0
13848,2.0
53343,1.0
24062,1.0
79250,4.0
55783,3.0
72743,3.0
61725,3.0
46025,3.0
48590,3.0
32918,4.0
21376,3.0
30526,3.0
82000,4.0
58825,4.0
84361,4.0
63400,3.0
47242,3.0
75945,4.0
82304,2.0
46385,4.0
72229,4.0
86057,2.0
6578,5.0
41710,4.0
86509,1.0
88066,4.0
20731,2.0
3902,2.0
53223,3.0
37687,4.0
8455,4.0
69067,3.0
34504,3.0
62157,2.0
23209,5.0
19638,4.0
83454,3.0
5449,4.0
4233,1.0
18803,4.0
25772,3.0
77183,4.0
47667,3.0
24986,5.0
47405,5.0
28681,4.0
81482,4.0
8252,4.0
86170,3.0
17575,4.0
48999,4.0
33438,5.0
25612,5.0
48310,5.0
43996,5.0
6388,4.0
43059,3.0
12362,2.0
16918,5.0
69978,2.0
58506,1.0
29639,2.0
16368,3.0
24369,1.0
33472,5.0
117,4.0
56083,4.0
75606,4.0
50308,4.0
81952,3.0
5241,3.0
83120,5.0
36415,5.0
35272,4.0
42417,4.0
71746,4.0
67222,3.0
16418,4.0
28161,2.0
49580,1.0
17113,4.0
27788,2.0
30817,3.0
33102,1.0
35295,4.0
50234,4.0
14718,5.0
25634,4.0
48547,3.0
45148,2.0
28326,5.0
77533,4.0
53452,4.0
16453,4.0
66989,4.0
74496,4.0
37162,1.0
48552,4.0
53314,3.0
4972,2.0
20498,4.0
67230,4.0
35816,4.0
79677,1.0
54859,3.0
76661,1.0
5884,2.0
20066,4.0
81584,5.0
26549,2.0
37334,4.0
9751,4.0
38116,3.0
69834,4.0
84349,4.0
43330,3.0
70644,4.0
2007,4.0
75900,3.0
67613,4.0
76386,2.0
78795,4.0
46216,3.0
42249,3.0
66189,3.0
75319,3.0
73177,4.0
1406,4.0
79351,4.0
25962,3.0
50976,4.0
37029,4.0
89629,3.0
83064,5.0
52427,3.0
73796,4.0
68892,4.0
63268,1.0
82725,4.0
71515,2.0
36058,3.0
61114,3.0
59845,2.0
40096,5.0
22079,5.0
44841,4.0
27503,3.0
44005,4.0
54407,3.0
35387,4.0
35370,3.0
7662,3.0
56388,4.0
25041,3.0
14761,2.0
56058,5.0
84181,5.0
79912,4.0
34753,5.0
48657,3.0
52819,3.0
48732,2.0
34708,4.0
81937,3.0
47934,5.0
1893,4.0
37978,5.0
61290,5.0
84993,5.0
78508,3.0
19457,4.0
17268,5.0
59219,3.0
71213,4.0
87144,4.0
74064,5.0
6994,3.0
63927,5.0
87578,3.0
87205,4.0
74075,4.0
55458,4.0
51643,2.0
36516,5.0
26358,5.0
58654,5.0
31794,4.0
10019,3.0
47187,3.0
71967,1.0
13383,3.0
19209,3.0
36392,4.0
48043,2.0
40743,3.0
59599,3.0
85033,3.0
39677,1.0
8607,2.0
69065,2.0
48935,3.0
45973,3.0
4324,4.0
79626,3.0
23584,4.0
13913,3.0
39329,5.0
62318,4.0
78762,3.0
28960,4.0
38085,5.0
24787,4.0
81366,5.0
50930,4.0
20656,4.0
88047,4.0
26185,2.0
85526,4.0
269,5.0
35411,3.0
15673,3.0
8752,2.0
66274,5.0
17713,5.0
60520,4.0
42496,2.0
89255,3.0
46273,2.0
68329,5.0
44221,3.0
44331,3.0
8007,4.0
22485,2.0
19643,3.0
28559,3.0
40504,3.0
55564,2.0
57286,3.0
40827,2.0
26632,3.0
66218,3.0
61740,2.0
74554,2.0
24637,4.0
88038,4.0
13884,3.0
72618,5.0
44123,5.0
58259,5.0
60073,2.0
71744,2.0
40820,2.0
79480,3.0
81287,2.0
25812,4.0
35577,4.0
64596,4.0
48787,2.0
63431,3.0
15072,2.0
41204,3.0
55433,3.0
34849,2.0
13257,5.0
26141,1.0
75278,5.0
54586,3.0
36495,3.0
11057,5.0
51319,3.0
16100,3.0
8335,3.0
65653,4.0
76636,4.0
42122,3.0
28228,4.0
45926,4.0
39511,4.0
58338,5.0
22169,4.0
24647,4.0
59948,1.0
75892,5.0
278,5.0
53427,4.0
72861,4.0
69017,2.0
40740,4.0
4468,3.0
72148,3.0
53976,3.0
20091,4.0
85969,3.0
20013,3.0
70205,3.0
63564,1.0
74560,5.0
61418,5.0
38857,4.0
31924,4.0
47381,4.0
37313,4.0
42707,5.0
80683,4.0
35166,5.0
68620,3.0
40097,3.0
6000,4.0
53778,3.0
47680,4.0
73377,4.0
25802,4.0
8696,5.0
10180,4.0
57243,2.0
9268,3.0
53238,5.0
64033,4.0
59256,3.0
74520,1.0
64909,4.0
87070,3.0
45514,3.0
53387,3.0
40224,2.0
27726,2.0
88982,2.0
80631,3.0
4153,5.0
73406,3.0
86263,2.0
53542,4.0
55072,2.0
82671,4.0
50772,3.0
25799,4.0
1822,2.0
81140,5.0
80584,4.0
38947,5.0
5317,1.0
8292,4.0
61532,2.0
6099,3.0
59538,2.0
12072,5.0
34676,4.0
35623,5.0
84857,5.0
4568,5.0
49919,3.0
78393,3.0
27195,4.0
21475,2.0
24524,5.0
54763,1.0
69342,3.0
57743,5.0
28784,2.0
38076,5.0
39590,4.0
65561,4.0
23804,3.0
87225,4.0
79246,4.0
29115,3.0
10975,4.0
10450,4.0
38865,2.0
46592,2.0
35719,2.0
7069,4.0
89048,3.0
76415,2.0
68797,5.0
38352,5.0
72933,1.0
24166,4.0
2392,3.0
74573,4.0
9949,4.0
49717,2.0
81720,4.0
26102,4.0
1428,5.0
37590,5.0
44051,4.0
61460,4.0
6284,1.0
32243,1.0
32904,4.0
85121,5.0
32675,5.0
56894,4.0
65220,4.0
18481,2.0
64979,4.0
83634,4.0
40101,5.0
71793,5.0
7858,3.0
67573,5.0
67713,3.0
23540,3.0
11649,5.0
1010,4.0
88045,4.0
8392,5.0
48145,5.0
30136,5.0
29671,1.0
16581,1.0
29432,1.0
32501,2.0
70452,4.0
24239,2.0
73868,1.0
81042,1.0
40293,1.0
36866,1.0
36897,1.0
74550,1.0
49638,1.0
43424,1.0
43494,2.0
3207,1.0
3233,1.0
2378,4.0
1418,1.0
9902,2.0
80637,3.0
60405,5.0
87936,3.0
70453,2.0
36784,3.0
53986,4.0
66133,4.0
51554,3.0
59734,5.0
74591,4.0
45847,3.0
69853,3.0
32846,2.0
26548,4.0
72695,2.0
11982,4.0
72250,4.0
52731,4.0
30569,3.0
68161,4.0
4919,5.0
64625,4.0
26807,2.0
11589,3.0
46233,4.0
54019,3.0
45722,4.0
54801,2.0
22985,1.0
49777,4.0
83972,4.0
82706,3.0
46288,4.0
65123,2.0
37885,2.0
21286,4.0
87839,3.0
26508,2.0
76709,2.0
75771,4.0
12412,4.0
29843,5.0
69658,5.0
61407,4.0
47613,3.0
22288,5.0
63522,4.0
66387,3.0
22807,3.0
24094,3.0
81770,3.0
54149,4.0
85663,5.0
50077,3.0
82620,5.0
23061,4.0
70052,5.0
43658,3.0
34005,3.0
37655,3.0
23316,1.0
6401,3.0
24810,2.0
47693,1.0
62997,4.0
23665,2.0
7526,3.0
41449,3.0
16951,3.0
74473,3.0
44121,2.0
665,5.0
65870,4.0
68385,4.0
67915,1.0
1529,3.0
49479,1.0
16736,1.0
85059,2.0
2131,1.0
8107,1.0
40379,4.0
7246,3.0
54781,3.0
67877,3.0
78626,3.0
2436,3.0
21412,3.0
47884,4.0
23545,5.0
13493,4.0
12793,3.0
9020,3.0
71758,5.0
27033,5.0
72656,4.0
67173,4.0
30587,4.0
38805,4.0
30315,5.0
57671,4.0
27374,1.0
66344,3.0
78980,4.0
1870,4.0
55913,4.0
40503,2.0
55984,3.0
59425,5.0
63662,3.0
15788,3.0
83499,3.0
74205,3.0
15851,3.0
23283,2.0
62474,3.0
43410,3.0
62409,3.0
5021,1.0
88015,4.0
67588,2.0
36687,1.0
75263,3.0
78826,3.0
72791,3.0
81339,3.0
11187,4.0
37131,3.0
17903,3.0
5536,3.0
77836,3.0
85535,2.0
740,4.0
52061,5.0
19408,5.0
27400,5.0
37632,4.0
3487,4.0
44836,4.0
61150,3.0
78942,1.0
27813,3.0
61743,2.0
31382,3.0
68240,3.0
81810,2.0
44017,4.0
10678,3.0
18796,3.0
76232,4.0
83549,2.0
83969,4.0
34919,3.0
78673,4.0
